JD,Magnitude
2456354.3271,0.427
2456354.6083,0.411
2456355.3688,0.384
2456356.2882,0.444
2456356.3667,0.427
2456356.5057,0.359
2456357.25,0.456
2456357.2569,0.471
2456359.2938,0.498
2456359.3028,0.449
2456359.375,0.444
2456368.2888,0.428
2456368.2938,0.434
2456371.2833,0.484
2456374.2778,0.431
2456374.3097,0.393
2456393.2944,0.568
2456395.2944,0.618
2456396.291,0.56
2456397.2917,0.568
2456398.2833,0.558
2456398.2903,0.543
2456404.6229,0.602
2456543.6056,0.578
2456563.6167,0.576
2456566.5931,0.571
2456567.566,0.577
2456567.5681,0.583
2456568.5986,0.575
2456568.6083,0.587
2456569.6361,0.601
2456569.6382,0.576
2456570.6056,0.578
2456570.6076,0.586
2456577.6708,0.564
2456582.6243,0.559
2456582.6271,0.578
2456594.6597,0.541
2456594.6611,0.56
2456604.4618,0.573
2456604.4639,0.585
2456608.6451,0.554
2456610.6125,0.572
2456610.6153,0.558
2456617.6972,0.504
2456623.6535,0.546
2456624.3979,0.572
2456629.5979,0.593
2456629.6,0.579
2456639.2736,0.545
2456639.2757,0.514
2456651.3556,0.545
2456651.3576,0.555
2456654.6486,0.591
2456667.6449,0.47
2456668.3069,0.528
2456670.2465,0.527
2456672.6493,0.49
2456673.341,0.5
2456701.3049,0.47
2456703.2347,0.436
2456704.2444,0.448
2456709.2472,0.466
2456712.2458,0.423
2456713.2868,0.4
2456714.2368,0.443
2456715.3486,0.35
2456716.2868,0.348
2456717.2861,0.411
2456721.2604,0.396
2456725.259,0.372
2456726.2917,0.373
2456728.2722,0.358
2456729.2854,0.37
2456730.2951,0.355
2456730.2986,0.358
2456731.2688,0.351
2456731.2715,0.343
2456736.2785,0.359
2456737.2868,0.414
2456737.2896,0.408
2456743.2861,0.422
2456743.2889,0.336
2456745.275,0.397
2456745.2813,0.358
2456745.2965,0.328
2456746.2701,0.381
2456746.2799,0.391
2456746.2826,0.37
2456750.2933,0.293
2456755.3101,0.289
2456762.2907,0.418
2456765.2921,0.384
2456887.6063,0.608
2456887.6076,0.547
2456887.609,0.537
2456908.6063,0.538
2456908.6083,0.518
2456908.6104,0.547
2456917.5646,0.549
2456917.5667,0.528
2456924.5597,0.55
2456924.5618,0.567
2456929.5889,0.607
2456929.6396,0.542
2456937.6097,0.528
2456937.6118,0.53
2456945.6972,0.562
2456949.6688,0.532
2456949.6708,0.531
2456966.5757,0.589
2456966.5785,0.595
2456984.5986,0.552
2456984.6007,0.557
2456984.6028,0.565
2457000.5986,0.579
2457001.5097,0.626
2457001.5139,0.618
2457001.5465,0.624
2457003.5778,0.619
2457014.3313,0.651
2457014.3333,0.62
2457014.4146,0.639
2457014.4153,0.656
2457015.4319,0.637
2457018.2597,0.608
2457018.2639,0.651
2457018.266,0.65
2457021.4632,0.6
2457021.4667,0.631
2457021.4694,0.625
2457022.2667,0.655
2457022.2694,0.62
2457022.2736,0.603
2457022.2757,0.644
2457022.3056,0.597
2457022.3076,0.642
2457022.341,0.641
2457022.3431,0.652
2457022.3549,0.654
2457022.3847,0.634
2457022.3861,0.644
2457029.2958,0.607
2457029.334,0.621
2457034.2299,0.604
2457034.2306,0.61
2457034.2486,0.595
2457034.2556,0.648
2457034.266,0.617
2457034.2667,0.616
2457034.2681,0.583
2457034.2694,0.627
2457034.2958,0.61
2457034.2965,0.631
2457034.2979,0.608
2457034.2993,0.62
2457034.3222,0.627
2457034.3229,0.619
2457034.3243,0.618
2457034.3806,0.621
2457034.3819,0.598
2457034.3826,0.643
2457035.3833,0.622
2457035.3861,0.618
2457035.4167,0.64
2457036.2396,0.597
2457036.2944,0.596
2457036.2958,0.646
2457043.4326,0.568
2457043.4354,0.588
2457043.4451,0.558
2457049.2243,0.594
2457049.3069,0.606
2457049.3208,0.599
2457049.3743,0.599
2457051.3007,0.59
2457054.1979,0.593
2457054.1993,0.593
