time,flux,flux_error,wavelength,band
2457863.87518,0.02125144568712087,0.0004444930087329956,0.54191692767119,ASAS_SN/Misc_APASS.V
2456992.00784,0.011754075593542359,0.00023980372789871891,0.54191692767119,ASAS_SN/Misc_APASS.V
2457406.86747,0.01455420472059903,0.0002901012849815979,0.54191692767119,ASAS_SN/Misc_APASS.V
2457130.88224,0.017971671823736737,0.0003624372220450532,0.54191692767119,ASAS_SN/Misc_APASS.V
2457882.8102,0.020748584768526788,0.0004309813304215869,0.54191692767119,ASAS_SN/Misc_APASS.V
2457099.97361,0.016375270375476855,0.0003269908773791425,0.54191692767119,ASAS_SN/Misc_APASS.V
2457843.9288,0.02260416555492601,0.00048216089619132593,0.54191692767119,ASAS_SN/Misc_APASS.V
2456982.08272,0.011895658266126388,0.00024215561111079665,0.54191692767119,ASAS_SN/Misc_APASS.V
2456797.7839,0.013115609554525266,0.00026332064927860364,0.54191692767119,ASAS_SN/Misc_APASS.V
2456981.07281,0.011775747355239315,0.00024024586979271167,0.54191692767119,ASAS_SN/Misc_APASS.V
2458033.13243,0.011775747355239315,0.00024024586979271167,0.54191692767119,ASAS_SN/Misc_APASS.V
2456983.10307,0.011571468553373938,0.00023680902052984894,0.54191692767119,ASAS_SN/Misc_APASS.V
2457124.79804,0.01714701309221401,0.0003437944106577665,0.54191692767119,ASAS_SN/Misc_APASS.V
2457128.89012,0.01815467503139205,0.0003666193822894344,0.54191692767119,ASAS_SN/Misc_APASS.V
2457335.08907,0.01714701309221401,0.0003437944106577665,0.54191692767119,ASAS_SN/Misc_APASS.V
2457786.84868,0.023474074547224187,0.0004284501461890707,0.54191692767119,ASAS_SN/Misc_APASS.V
2457148.82666,0.018975292512020434,0.00038610195184257234,0.54191692767119,ASAS_SN/Misc_APASS.V
2457422.94571,0.012888087604137935,0.0002592179894472257,0.54191692767119,ASAS_SN/Misc_APASS.V
2457839.93981,0.023301746832449167,0.0004253048109197612,0.54191692767119,ASAS_SN/Misc_APASS.V
2457106.85294,0.01713122738022472,0.00034347791008002823,0.54191692767119,ASAS_SN/Misc_APASS.V
2457428.06873,0.013224780711352238,0.00026527374583510836,0.54191692767119,ASAS_SN/Misc_APASS.V
2458406.12085,0.01887072038000975,0.0003836336167448683,0.54191692767119,ASAS_SN/Misc_APASS.V
2457708.05329,0.01655726041361364,0.00033092386272045476,0.54191692767119,ASAS_SN/Misc_APASS.V
2456800.76665,0.012734692991862716,0.00025659248367732046,0.54191692767119,ASAS_SN/Misc_APASS.V
2457096.75501,0.015973073109424512,0.00031852702444860604,0.54191692767119,ASAS_SN/Misc_APASS.V
2457049.96327,0.012228930574520822,0.00024783646617348147,0.54191692767119,ASAS_SN/Misc_APASS.V
2457105.90105,0.01649637343881881,0.0003295580360045287,0.54191692767119,ASAS_SN/Misc_APASS.V
2457692.08324,0.014380979905664188,0.00028677829911788634,0.54191692767119,ASAS_SN/Misc_APASS.V
2457745.12708,0.02115380416351187,0.0004416877003538641,0.54191692767119,ASAS_SN/Misc_APASS.V
2457893.77441,0.019453084776451704,0.00039775454967250077,0.54191692767119,ASAS_SN/Misc_APASS.V
2458113.95041,0.011256113910316964,0.00023167540111795047,0.54191692767119,ASAS_SN/Misc_APASS.V
2457509.83789,0.012083381279572135,0.00024532284336209324,0.54191692767119,ASAS_SN/Misc_APASS.V
2456702.04769,0.015623865062235719,0.000311422260298337,0.54191692767119,ASAS_SN/Misc_APASS.V
2457417.91354,0.012983401260260399,0.00026101785520910286,0.54191692767119,ASAS_SN/Misc_APASS.V
2457431.90729,0.013236966795559574,0.00026551818453509886,0.54191692767119,ASAS_SN/Misc_APASS.V
2457457.83023,0.012664512571939412,0.00025529270569847465,0.54191692767119,ASAS_SN/Misc_APASS.V
2458444.03181,0.01856044905656482,0.00037615358732643694,0.54191692767119,ASAS_SN/Misc_APASS.V
2457472.77572,0.012947576313608213,0.0002602976317059785,0.54191692767119,ASAS_SN/Misc_APASS.V
2457150.78915,0.018680499274187867,0.00037909226727012143,0.54191692767119,ASAS_SN/Misc_APASS.V
2457078.011,0.01378441943534681,0.0002755041118489181,0.54191692767119,ASAS_SN/Misc_APASS.V
2456998.98785,0.011851913671493932,0.00024147899230636533,0.54191692767119,ASAS_SN/Misc_APASS.V
2457871.85539,0.021626611539479895,0.00045468007600608744,0.54191692767119,ASAS_SN/Misc_APASS.V
2457442.9103,0.012687862966131074,0.00025576340563883583,0.54191692767119,ASAS_SN/Misc_APASS.V
2457703.10414,0.015523458302582019,0.00030928077821711656,0.54191692767119,ASAS_SN/Misc_APASS.V
2457889.79267,0.01997967775874072,0.0004110451594004701,0.54191692767119,ASAS_SN/Misc_APASS.V
2458196.86683,0.011381211118047858,0.00023373682645081882,0.54191692767119,ASAS_SN/Misc_APASS.V
2457670.13503,0.013007339610485365,0.00026138171691395044,0.54191692767119,ASAS_SN/Misc_APASS.V
2457020.92659,0.011983632426153348,0.0002437302142559031,0.54191692767119,ASAS_SN/Misc_APASS.V
2457080.81902,0.0143017268597264,0.0002851978745666359,0.54191692767119,ASAS_SN/Misc_APASS.V
2456994.05579,0.012072257197744594,0.0002452059283648893,0.54191692767119,ASAS_SN/Misc_APASS.V
2457398.94294,0.014236016393653506,0.0002840160126249272,0.54191692767119,ASAS_SN/Misc_APASS.V
2457122.82159,0.017627408922984002,0.00035453991627997135,0.54191692767119,ASAS_SN/Misc_APASS.V
2456968.07034,0.011775747355239315,0.00024024586979271167,0.54191692767119,ASAS_SN/Misc_APASS.V
2458038.11836,0.011775747355239315,0.00024024586979271167,0.54191692767119,ASAS_SN/Misc_APASS.V
2456952.9426,0.04457391135846359,0.00021251749910184708,0.6217590403249,GAIA_DR3/GAIA_GAIA3.G
2456953.016613,0.0459011054680181,0.00016593810557380097,0.6217590403249,GAIA_DR3/GAIA_GAIA3.G
2457004.006937,0.04994986802320271,0.0003507505858067083,0.6217590403249,GAIA_DR3/GAIA_GAIA3.G
2457143.565358,0.19269247060693123,0.0011169369863250434,0.6217590403249,GAIA_DR3/GAIA_GAIA3.G
2457173.975849,0.2117081343837651,0.0015682008411963253,0.6217590403249,GAIA_DR3/GAIA_GAIA3.G
2457174.04985,0.21911471540098484,0.002295071145897098,0.6217590403249,GAIA_DR3/GAIA_GAIA3.G
2457196.975221,0.21486255960848544,0.000969040752481143,0.6217590403249,GAIA_DR3/GAIA_GAIA3.G
2457197.049224,0.21815920638904135,0.0011054868796976877,0.6217590403249,GAIA_DR3/GAIA_GAIA3.G
2457328.492109,0.1626721269270767,0.0008204209508448963,0.6217590403249,GAIA_DR3/GAIA_GAIA3.G
2457328.566126,0.15977864914467685,0.0014938100482005427,0.6217590403249,GAIA_DR3/GAIA_GAIA3.G
2457359.476883,0.12395850936170671,0.0009066952978303125,0.6217590403249,GAIA_DR3/GAIA_GAIA3.G
2457359.550903,0.12653945075699494,0.0006391322201113591,0.6217590403249,GAIA_DR3/GAIA_GAIA3.G
2457378.553081,0.10560399432029322,0.0007079637974395209,0.6217590403249,GAIA_DR3/GAIA_GAIA3.G
2457474.073101,0.04731071865474631,0.0002471289119950512,0.6217590403249,GAIA_DR3/GAIA_GAIA3.G
2457474.323261,0.047017544587256564,0.00023251163135066486,0.6217590403249,GAIA_DR3/GAIA_GAIA3.G
2457474.397266,0.04684015732305605,0.0002284551244294635,0.6217590403249,GAIA_DR3/GAIA_GAIA3.G
2457474.573378,0.04742628918107072,0.00018201802591984566,0.6217590403249,GAIA_DR3/GAIA_GAIA3.G
2457474.64741,0.04763484375848681,0.00015797511153222785,0.6217590403249,GAIA_DR3/GAIA_GAIA3.G
2457474.823555,0.047566669589060695,0.00021600535278133224,0.6217590403249,GAIA_DR3/GAIA_GAIA3.G
2457474.897542,0.04750388677063565,0.00019234961428344488,0.6217590403249,GAIA_DR3/GAIA_GAIA3.G
2457475.073703,0.048000918209886556,0.00018147777451158964,0.6217590403249,GAIA_DR3/GAIA_GAIA3.G
2457475.147685,0.04736146689955359,0.0001410418648799447,0.6217590403249,GAIA_DR3/GAIA_GAIA3.G
2457475.323823,0.047923877025210664,0.0002697505057841853,0.6217590403249,GAIA_DR3/GAIA_GAIA3.G
2457475.397852,0.04762554352425347,0.00013929856299096108,0.6217590403249,GAIA_DR3/GAIA_GAIA3.G
2457475.573997,0.04780542076909608,0.00013720040052377688,0.6217590403249,GAIA_DR3/GAIA_GAIA3.G
2457475.647999,0.04719017034871826,0.00010246485342322399,0.6217590403249,GAIA_DR3/GAIA_GAIA3.G
2457475.824143,0.04781576903758815,0.00013345038696370754,0.6217590403249,GAIA_DR3/GAIA_GAIA3.G
2457475.898147,0.04698087975972518,0.00011077673664852458,0.6217590403249,GAIA_DR3/GAIA_GAIA3.G
2457476.074293,0.0465519572196299,0.00044210219263521956,0.6217590403249,GAIA_DR3/GAIA_GAIA3.G
2457476.324436,0.04717461289012684,0.00022491248025933227,0.6217590403249,GAIA_DR3/GAIA_GAIA3.G
2457476.398412,0.04696694856706205,0.0002306666243450076,0.6217590403249,GAIA_DR3/GAIA_GAIA3.G
2457476.574583,0.04695916274398494,0.00021756157583906847,0.6217590403249,GAIA_DR3/GAIA_GAIA3.G
2457476.648616,0.04608703248505746,0.0002803882316793385,0.6217590403249,GAIA_DR3/GAIA_GAIA3.G
2457476.824704,0.04680996809051896,0.000186249681845691,0.6217590403249,GAIA_DR3/GAIA_GAIA3.G
2457476.898737,0.04617179354641877,0.00020925390694636527,0.6217590403249,GAIA_DR3/GAIA_GAIA3.G
2457477.074885,0.04583701683015358,0.0001376017366022157,0.6217590403249,GAIA_DR3/GAIA_GAIA3.G
2457477.148884,0.04700316960522504,0.0003326076392378514,0.6217590403249,GAIA_DR3/GAIA_GAIA3.G
2457477.325033,0.04633819844173321,0.0002147120665462512,0.6217590403249,GAIA_DR3/GAIA_GAIA3.G
2457519.538535,0.04019569526699071,0.00023035861046146478,0.6217590403249,GAIA_DR3/GAIA_GAIA3.G
2457519.612536,0.04032811706215154,0.00018287402251516692,0.6217590403249,GAIA_DR3/GAIA_GAIA3.G
2457555.516426,0.0437056863833755,0.0002102766238775406,0.6217590403249,GAIA_DR3/GAIA_GAIA3.G
2457555.590426,0.04358023272126683,0.0005013230080317111,0.6217590403249,GAIA_DR3/GAIA_GAIA3.G
2457571.021336,0.04461206692903918,0.00019316236701658922,0.6217590403249,GAIA_DR3/GAIA_GAIA3.G
2457571.095318,0.04432022383387287,0.0002500402091127236,0.6217590403249,GAIA_DR3/GAIA_GAIA3.G
2457571.271484,0.04568120433387102,9.651526921288113e-05,0.6217590403249,GAIA_DR3/GAIA_GAIA3.G
2457571.34549,0.044962737524344785,0.0001566586190692367,0.6217590403249,GAIA_DR3/GAIA_GAIA3.G
2457704.115596,0.103489608752312,0.0004076468104382144,0.6217590403249,GAIA_DR3/GAIA_GAIA3.G
2457704.291769,0.10520363481606061,0.0009627046587673181,0.6217590403249,GAIA_DR3/GAIA_GAIA3.G
2457739.267379,0.16601156552368707,0.00046700985717948906,0.6217590403249,GAIA_DR3/GAIA_GAIA3.G
2457739.341394,0.1702123803075593,0.00040636364373428937,0.6217590403249,GAIA_DR3/GAIA_GAIA3.G
2457752.096704,0.1904307794751218,0.0009237731113228513,0.6217590403249,GAIA_DR3/GAIA_GAIA3.G
2457752.27287,0.1923079087118036,0.0010042316861094073,0.6217590403249,GAIA_DR3/GAIA_GAIA3.G
2457845.418935,0.21347879615631668,0.0016620503812323983,0.6217590403249,GAIA_DR3/GAIA_GAIA3.G
